"Customer_ID","Customer_Name","Age","Age_Group","Gender","City"
"CUST7462","Customer_379",41.0,"36-45","Male","Patna"
"CUST7588","Customer_67",47.0,"46-55","Male","Pune"
"CUST5005","Customer_176",20.0,"18-25","Female","Kolkata"
"CUST3210","Customer_15",43.0,"36-45","Female","Mumbai"
"CUST5926","Customer_308",54.0,"46-55","Male","Gaya"
"CUST3809","Customer_394",44.0,"36-45","Female","Gaya"
"CUST2079","Customer_35",44.0,"36-45","Male","Mumbai"
"CUST4881","Customer_389",32.0,"26-35","Male","Patna"
"CUST6707","Customer_420",33.0,"26-35","Male","Pune"
"CUST2796","Customer_471",29.0,"26-35","Male","Patna"
"CUST5524","Customer_154",44.0,"36-45","Male","Hyderabad"
"CUST9882","Customer_103",28.0,"26-35","Female","Kolkata"
"CUST3001","Customer_341",32.0,"26-35","Male","Gaya"
"CUST5433","Customer_355",49.0,"46-55","Male","Delhi"
"CUST3794","Customer_315",35.0,"26-35","Female","Hyderabad"
"CUST2345","Customer_302",48.0,"46-55","Male","Bengaluru"
"CUST8316","Customer_121",63.0,"56+","Female","Hyderabad"
"CUST9354","Customer_241",46.0,"46-55","Female","Patna"
"CUST2871","Customer_8",33.0,"26-35","Female","Delhi"
"CUST7341","Customer_457",49.0,"46-55","Female","Hyderabad"
"CUST9563","Customer_166",24.0,"18-25","Male","Gaya"
"CUST2286","Customer_298",39.0,"36-45","Female","Patna"
"CUST2423","Customer_376",23.0,"18-25","Male","Hyderabad"
"CUST2378","Customer_95",53.0,"46-55","Male","Hyderabad"
"CUST6995","Customer_374",33.0,"26-35","Male","Hyderabad"
"CUST3677","Customer_459",34.0,"26-35","Female","Patna"
"CUST6627","Customer_353",57.0,"56+","Male","Patna"
"CUST6238","Customer_258",55.0,"46-55","Male","Gaya"
"CUST8352","Customer_400",44.0,"36-45","Male","Gaya"
"CUST2870","Customer_495",33.0,"26-35","Male","Patna"
"CUST4751","Customer_260",20.0,"18-25","Male","Patna"
"CUST7031","Customer_224",37.0,"36-45","Female","Gaya"
"CUST8366","Customer_355",65.0,"56+","Female","Bengaluru"
"CUST2863","Customer_375",34.0,"26-35","Female","Patna"
"CUST8298","Customer_489",45.0,"36-45","Female","Delhi"
"CUST9577","Customer_302",46.0,"46-55","Male","Mumbai"
"CUST3054","Customer_96",28.0,"26-35","Female","Mumbai"
"CUST6791","Customer_430",22.0,"18-25","Female","Pune"
"CUST7062","Customer_92",52.0,"46-55","Male","Bengaluru"
"CUST6625","Customer_121",18.0,"18-25","Male","Hyderabad"
"CUST4824","Customer_98",24.0,"18-25","Male","Gaya"
"CUST1339","Customer_107",54.0,"46-55","Male","Kolkata"
"CUST1113","Customer_104",33.0,"26-35","Female","Gaya"
"CUST4034","Customer_271",32.0,"26-35","Female","Kolkata"
"CUST6997","Customer_244",28.0,"26-35","Male","Gaya"
"CUST2480","Customer_491",59.0,"56+","Female","Gaya"
"CUST9450","Customer_230",18.0,"18-25","Male","Bengaluru"
"CUST8408","Customer_249",51.0,"46-55","Female","Delhi"
"CUST7178","Customer_478",64.0,"56+","Male","Bengaluru"
"CUST4132","Customer_47",41.0,"36-45","Female","Unknown"
"CUST4829","Customer_202",19.0,"18-25","Female","Mumbai"
"CUST5188","Customer_286",53.0,"46-55","Male","Gaya"
"CUST1928","Customer_17",30.0,"26-35","Female","Mumbai"
"CUST3887","Customer_371",56.0,"56+","Female","Mumbai"
"CUST5211","Customer_215",53.0,"46-55","Female","Patna"
"CUST2236","Customer_173",64.0,"56+","Male","Pune"
"CUST5375","Customer_265",60.0,"56+","Male","Bengaluru"
"CUST4137","Customer_221",36.0,"36-45","Male","Gaya"
"CUST5113","Customer_271",30.0,"26-35","Female","Kolkata"
"CUST7263","Customer_120",55.0,"46-55","Male","Hyderabad"
"CUST2562","Customer_280",65.0,"56+","Male","Bengaluru"
"CUST9297","Customer_488",27.0,"26-35","Female","Kolkata"
"CUST2295","Customer_319",57.0,"56+","Male","Mumbai"
"CUST3839","Customer_274",61.0,"56+","Male","Bengaluru"
"CUST8010","Customer_187",41.0,"36-45","Female","Hyderabad"
"CUST9008","Customer_279",54.0,"46-55","Female","Hyderabad"
"CUST3714","Customer_295",37.0,"36-45","Female","Patna"
"CUST5036","Customer_468",32.0,"26-35","Male","Patna"
"CUST1479","Customer_375",35.0,"26-35","Female","Bengaluru"
"CUST9875","Customer_6",49.0,"46-55","Male","Bengaluru"
"CUST3522","Customer_67",24.0,"18-25","Male","Bengaluru"
"CUST4062","Customer_23",56.0,"56+","Female","Mumbai"
"CUST4009","Customer_273",18.0,"18-25","Male","Hyderabad"
"CUST4685","Customer_22",35.0,"26-35","Male","Gaya"
"CUST3564","Customer_267",41.0,"36-45","Male","Patna"
"CUST8722","Customer_475",21.0,"18-25","Male","Mumbai"
"CUST3602","Customer_295",54.0,"46-55","Male","Pune"
"CUST9812","Customer_333",20.0,"18-25","Female","Pune"
"CUST4747","Customer_193",44.0,"36-45","Male","Gaya"
"CUST1766","Customer_319",27.0,"26-35","Male","Kolkata"
"CUST3366","Customer_363",55.0,"46-55","Male","Delhi"
"CUST1215","Customer_19",35.0,"26-35","Male","Gaya"
"CUST5988","Customer_266",43.0,"36-45","Male","Kolkata"
"CUST3662","Customer_223",34.0,"26-35","Female","Hyderabad"
"CUST3397","Customer_101",44.0,"36-45","Male","Gaya"
"CUST4777","Customer_233",60.0,"56+","Female","Gaya"
"CUST9059","Customer_288",33.0,"26-35","Male","Delhi"
"CUST5600","Customer_176",27.0,"26-35","Male","Bengaluru"
"CUST7574","Customer_66",43.0,"36-45","Female","Delhi"
"CUST1436","Customer_144",60.0,"56+","Female","Delhi"
"CUST3625","Customer_382",55.0,"46-55","Female","Kolkata"
"CUST5168","Customer_295",25.0,"18-25","Male","Hyderabad"
"CUST6821","Customer_73",24.0,"18-25","Male","Pune"
"CUST6228","Customer_466",41.0,"36-45","Female","Pune"
"CUST3002","Customer_57",61.0,"56+","Male","Mumbai"
"CUST3685","Customer_94",23.0,"18-25","Female","Delhi"
"CUST3417","Customer_102",36.0,"36-45","Male","Patna"
"CUST7187","Customer_149",38.0,"36-45","Male","Patna"
"CUST2953","Customer_435",41.0,"36-45","Female","Kolkata"
"CUST2779","Customer_336",44.0,"36-45","Female","Patna"
"CUST6564","Customer_216",59.0,"56+","Female","Patna"
"CUST4996","Customer_449",61.0,"56+","Female","Hyderabad"
"CUST2428","Customer_127",52.0,"46-55","Female","Mumbai"
"CUST2448","Customer_444",59.0,"56+","Female","Kolkata"
"CUST1049","Customer_243",55.0,"46-55","Female","Hyderabad"
"CUST9728","Customer_338",45.0,"36-45","Male","Gaya"
"CUST6932","Customer_304",31.0,"26-35","Male","Kolkata"
"CUST9159","Customer_12",40.0,"36-45","Female","Kolkata"
"CUST6518","Customer_410",44.0,"36-45","Female","Hyderabad"
"CUST4756","Customer_15",55.0,"46-55","Female","Bengaluru"
"CUST7659","Customer_445",20.0,"18-25","Male","Patna"
"CUST6727","Customer_452",34.0,"26-35","Female","Mumbai"
"CUST8049","Customer_384",37.0,"36-45","Female","Delhi"
"CUST4705","Customer_53",43.0,"36-45","Female","Hyderabad"
"CUST5355","Customer_108",23.0,"18-25","Male","Delhi"
"CUST3186","Customer_412",60.0,"56+","Female","Delhi"
"CUST1822","Customer_174",39.0,"36-45","Male","Kolkata"
"CUST9645","Customer_341",25.0,"18-25","Female","Hyderabad"
"CUST2997","Customer_181",23.0,"18-25","Female","Hyderabad"
"CUST2088","Customer_382",65.0,"56+","Female","Hyderabad"
"CUST1711","Customer_36",20.0,"18-25","Female","Bengaluru"
"CUST9840","Customer_347",38.0,"36-45","Female","Bengaluru"
"CUST7613","Customer_432",22.0,"18-25","Male","Mumbai"
"CUST1443","Customer_315",37.0,"36-45","Female","Unknown"
"CUST9319","Customer_434",54.0,"46-55","Female","Pune"
"CUST6773","Customer_200",22.0,"18-25","Male","Hyderabad"
"CUST5214","Customer_142",63.0,"56+","Female","Patna"
"CUST3618","Customer_131",28.0,"26-35","Male","Pune"
"CUST3668","Customer_415",63.0,"56+","Male","Patna"
"CUST7315","Customer_283",45.0,"36-45","Female","Mumbai"
"CUST9158","Customer_297",61.0,"56+","Male","Gaya"
"CUST6522","Customer_468",61.0,"56+","Male","Mumbai"
"CUST3760","Customer_360",63.0,"56+","Female","Bengaluru"
"CUST5079","Customer_348",41.0,"36-45","Female","Bengaluru"
"CUST6082","Customer_301",62.0,"56+","Male","Mumbai"
"CUST8311","Customer_225",32.0,"26-35","Male","Bengaluru"
"CUST5945","Customer_49",40.0,"36-45","Female","Kolkata"
"CUST9191","Customer_323",38.0,"36-45","Male","Hyderabad"
"CUST1197","Customer_419",36.0,"36-45","Male","Pune"
"CUST6111","Customer_204",34.0,"26-35","Female","Hyderabad"
"CUST1367","Customer_48",21.0,"18-25","Female","Bengaluru"
"CUST6584","Customer_449",21.0,"18-25","Male","Mumbai"
"CUST2862","Customer_122",25.0,"18-25","Male","Bengaluru"
"CUST4094","Customer_382",51.0,"46-55","Male","Hyderabad"
"CUST5129","Customer_404",54.0,"46-55","Male","Bengaluru"
"CUST4629","Customer_167",40.0,"36-45","Female","Patna"
"CUST5454","Customer_368",19.0,"18-25","Female","Hyderabad"
"CUST3169","Customer_138",41.0,"36-45","Female","Delhi"
"CUST9047","Customer_363",42.0,"36-45","Male","Patna"
"CUST9097","Customer_384",26.0,"26-35","Male","Hyderabad"
"CUST2006","Customer_131",50.0,"46-55","Male","Kolkata"
"CUST5418","Customer_491",41.0,"36-45","Female","Kolkata"
"CUST8067","Customer_283",47.0,"46-55","Female","Patna"
"CUST3080","Customer_378",41.0,"36-45","Female","Pune"
"CUST6728","Customer_413",64.0,"56+","Male","Bengaluru"
"CUST7801","Customer_150",41.0,"36-45","Male","Pune"
"CUST4686","Customer_473",27.0,"26-35","Male","Pune"
"CUST6345","Customer_420",32.0,"26-35","Male","Hyderabad"
"CUST6927","Customer_165",23.0,"18-25","Male","Gaya"
"CUST8686","Customer_404",56.0,"56+","Female","Patna"
"CUST6585","Customer_214",21.0,"18-25","Male","Hyderabad"
"CUST7176","Customer_434",33.0,"26-35","Male","Bengaluru"
"CUST9233","Customer_485",35.0,"26-35","Male","Hyderabad"
"CUST7501","Customer_2",40.0,"36-45","Female","Gaya"
"CUST7082","Customer_492",21.0,"18-25","Female","Bengaluru"
"CUST2463","Customer_390",25.0,"18-25","Male","Bengaluru"
"CUST1662","Customer_365",31.0,"26-35","Female","Pune"
"CUST7413","Customer_4",54.0,"46-55","Male","Kolkata"
"CUST1994","Customer_390",48.0,"46-55","Male","Pune"
"CUST6173","Customer_51",22.0,"18-25","Male","Pune"
"CUST7374","Customer_375",62.0,"56+","Female","Patna"
"CUST4737","Customer_367",22.0,"18-25","Female","Patna"
"CUST6444","Customer_251",23.0,"18-25","Female","Mumbai"
"CUST2152","Customer_99",63.0,"56+","Female","Bengaluru"
"CUST1636","Customer_243",63.0,"56+","Female","Patna"
"CUST3341","Customer_263",54.0,"46-55","Male","Gaya"
"CUST1463","Customer_397",21.0,"18-25","Female","Bengaluru"
"CUST3877","Customer_133",18.0,"18-25","Male","Delhi"
"CUST6407","Customer_157",26.0,"26-35","Female","Delhi"
"CUST4381","Customer_324",39.0,"36-45","Female","Kolkata"
"CUST5097","Customer_302",65.0,"56+","Female","Mumbai"
"CUST9910","Customer_110",18.0,"18-25","Male","Hyderabad"
"CUST7806","Customer_4",64.0,"56+","Female","Hyderabad"
"CUST8105","Customer_385",52.0,"46-55","Male","Delhi"
"CUST6002","Customer_83",46.0,"46-55","Male","Delhi"
"CUST1334","Customer_364",31.0,"26-35","Male","Kolkata"
"CUST9248","Customer_451",51.0,"46-55","Male","Mumbai"
"CUST7152","Customer_423",22.0,"18-25","Female","Patna"
"CUST8650","Customer_384",23.0,"18-25","Male","Gaya"
"CUST9284","Customer_212",44.0,"36-45","Female","Kolkata"
"CUST4169","Customer_307",41.0,"36-45","Female","Hyderabad"
"CUST3464","Customer_1",18.0,"18-25","Female","Bengaluru"
"CUST8294","Customer_103",30.0,"26-35","Female","Hyderabad"
"CUST4845","Customer_401",18.0,"18-25","Male","Mumbai"
"CUST6538","Customer_365",37.0,"36-45","Female","Pune"
"CUST6028","Customer_58",39.0,"36-45","Male","Delhi"
"CUST7944","Customer_282",41.0,"36-45","Male","Unknown"
"CUST5406","Customer_164",30.0,"26-35","Male","Kolkata"
"CUST9552","Customer_340",30.0,"26-35","Male","Patna"
"CUST3059","Customer_104",36.0,"36-45","Male","Patna"
"CUST1183","Customer_189",20.0,"18-25","Female","Gaya"
"CUST1088","Customer_1",40.0,"36-45","Male","Patna"
"CUST8195","Customer_388",52.0,"46-55","Female","Patna"
"CUST1231","Customer_339",53.0,"46-55","Male","Patna"
"CUST6206","Customer_18",50.0,"46-55","Male","Kolkata"
"CUST7625","Customer_251",50.0,"46-55","Female","Patna"
"CUST1762","Customer_141",27.0,"26-35","Male","Delhi"
"CUST1743","Customer_222",56.0,"56+","Male","Hyderabad"
"CUST9788","Customer_229",64.0,"56+","Male","Hyderabad"
"CUST2687","Customer_190",64.0,"56+","Female","Hyderabad"
"CUST3094","Customer_47",49.0,"46-55","Female","Bengaluru"
"CUST7059","Customer_224",51.0,"46-55","Female","Delhi"
"CUST8229","Customer_161",32.0,"26-35","Male","Pune"
"CUST2457","Customer_462",51.0,"46-55","Male","Kolkata"
"CUST5057","Customer_158",52.0,"46-55","Female","Patna"
"CUST1516","Customer_148",52.0,"46-55","Male","Mumbai"
"CUST4527","Customer_359",54.0,"46-55","Male","Mumbai"
"CUST2650","Customer_276",56.0,"56+","Female","Kolkata"
"CUST1932","Customer_369",35.0,"26-35","Male","Delhi"
"CUST2094","Customer_165",54.0,"46-55","Female","Hyderabad"
"CUST7196","Customer_286",40.0,"36-45","Male","Delhi"
"CUST2537","Customer_32",30.0,"26-35","Female","Bengaluru"
"CUST9627","Customer_444",47.0,"46-55","Male","Gaya"
"CUST3044","Customer_27",65.0,"56+","Female","Bengaluru"
"CUST9693","Customer_343",48.0,"46-55","Male","Patna"
"CUST5621","Customer_427",62.0,"56+","Female","Delhi"
"CUST6067","Customer_316",55.0,"46-55","Male","Patna"
"CUST9465","Customer_470",44.0,"36-45","Male","Kolkata"
"CUST3773","Customer_336",41.0,"36-45","Female","Pune"
"CUST5933","Customer_92",29.0,"26-35","Male","Mumbai"
"CUST8904","Customer_152",28.0,"26-35","Female","Kolkata"
"CUST2599","Customer_390",35.0,"26-35","Male","Mumbai"
"CUST5249","Customer_236",57.0,"56+","Male","Pune"
"CUST9849","Customer_264",53.0,"46-55","Female","Delhi"
"CUST3891","Customer_453",65.0,"56+","Male","Mumbai"
"CUST8154","Customer_224",47.0,"46-55","Female","Pune"
"CUST1614","Customer_267",52.0,"46-55","Female","Bengaluru"
"CUST9557","Customer_475",47.0,"46-55","Male","Mumbai"
"CUST9253","Customer_371",50.0,"46-55","Female","Pune"
"CUST2794","Customer_98",31.0,"26-35","Female","Patna"
"CUST2051","Customer_103",31.0,"26-35","Male","Bengaluru"
"CUST1577","Customer_59",37.0,"36-45","Male","Delhi"
"CUST7654","Customer_172",42.0,"36-45","Male","Delhi"
"CUST9304","Customer_216",38.0,"36-45","Female","Bengaluru"
"CUST9709","Customer_409",41.0,"36-45","Male","Pune"
"CUST6828","Customer_222",50.0,"46-55","Male","Bengaluru"
"CUST1170","Customer_67",37.0,"36-45","Male","Mumbai"
"CUST3075","Customer_249",55.0,"46-55","Male","Bengaluru"
"CUST7104","Customer_498",34.0,"26-35","Male","Mumbai"
"CUST3265","Customer_256",29.0,"26-35","Male","Gaya"
"CUST4601","Customer_82",55.0,"46-55","Female","Hyderabad"
"CUST5743","Customer_248",28.0,"26-35","Male","Gaya"
"CUST8871","Customer_345",43.0,"36-45","Female","Kolkata"
"CUST3763","Customer_221",32.0,"26-35","Female","Delhi"
"CUST7309","Customer_266",52.0,"46-55","Female","Delhi"
"CUST3281","Customer_243",64.0,"56+","Female","Pune"
"CUST9724","Customer_220",35.0,"26-35","Male","Pune"
"CUST5468","Customer_463",32.0,"26-35","Male","Bengaluru"
"CUST7621","Customer_375",61.0,"56+","Female","Gaya"
"CUST9551","Customer_230",18.0,"18-25","Male","Bengaluru"
"CUST3023","Customer_223",43.0,"36-45","Female","Gaya"
"CUST5318","Customer_376",61.0,"56+","Male","Bengaluru"
"CUST9900","Customer_496",26.0,"26-35","Male","Bengaluru"
"CUST6142","Customer_410",37.0,"36-45","Male","Patna"
"CUST8318","Customer_189",29.0,"26-35","Female","Kolkata"
"CUST9485","Customer_43",57.0,"56+","Male","Mumbai"
"CUST9022","Customer_131",49.0,"46-55","Female","Mumbai"
"CUST4041","Customer_433",32.0,"26-35","Female","Bengaluru"
"CUST5835","Customer_362",20.0,"18-25","Male","Unknown"
"CUST9776","Customer_345",54.0,"46-55","Female","Delhi"
"CUST9292","Customer_89",33.0,"26-35","Male","Bengaluru"
"CUST3607","Customer_266",64.0,"56+","Female","Patna"
"CUST1032","Customer_20",22.0,"18-25","Female","Pune"
"CUST6531","Customer_218",57.0,"56+","Male","Kolkata"
"CUST4482","Customer_139",53.0,"46-55","Male","Pune"
"CUST4655","Customer_167",35.0,"26-35","Male","Kolkata"
"CUST3365","Customer_80",23.0,"18-25","Male","Delhi"
"CUST1481","Customer_40",40.0,"36-45","Female","Patna"
"CUST2242","Customer_331",53.0,"46-55","Female","Delhi"
"CUST8164","Customer_156",34.0,"26-35","Female","Delhi"
"CUST9469","Customer_426",18.0,"18-25","Female","Kolkata"
"CUST3129","Customer_138",39.0,"36-45","Male","Hyderabad"
"CUST6180","Customer_73",64.0,"56+","Male","Patna"
"CUST2671","Customer_58",52.0,"46-55","Male","Delhi"
"CUST9927","Customer_357",37.0,"36-45","Female","Bengaluru"
"CUST3393","Customer_175",24.0,"18-25","Female","Hyderabad"
"CUST5569","Customer_188",27.0,"26-35","Female","Pune"
"CUST5128","Customer_192",47.0,"46-55","Male","Bengaluru"
"CUST3345","Customer_202",35.0,"26-35","Female","Gaya"
"CUST6600","Customer_242",58.0,"56+","Female","Bengaluru"
"CUST5615","Customer_56",63.0,"56+","Female","Bengaluru"
"CUST5102","Customer_416",41.0,"36-45","Female","Hyderabad"
"CUST6037","Customer_121",28.0,"26-35","Male","Patna"
"CUST2137","Customer_57",40.0,"36-45","Female","Mumbai"
"CUST4625","Customer_296",25.0,"18-25","Female","Gaya"
"CUST4414","Customer_194",53.0,"46-55","Female","Delhi"
"CUST5778","Customer_346",37.0,"36-45","Male","Patna"
"CUST1528","Customer_170",46.0,"46-55","Male","Patna"
"CUST5430","Customer_333",48.0,"46-55","Male","Mumbai"
"CUST8759","Customer_20",64.0,"56+","Female","Hyderabad"
"CUST9421","Customer_355",64.0,"56+","Female","Bengaluru"
"CUST3440","Customer_28",32.0,"26-35","Female","Pune"
"CUST6631","Customer_141",58.0,"56+","Male","Kolkata"
"CUST9089","Customer_177",24.0,"18-25","Male","Patna"
"CUST4703","Customer_394",58.0,"56+","Male","Patna"
"CUST4598","Customer_96",33.0,"26-35","Female","Patna"
"CUST3277","Customer_148",46.0,"46-55","Female","Gaya"
"CUST5932","Customer_183",62.0,"56+","Female","Gaya"
"CUST7628","Customer_120",56.0,"56+","Male","Bengaluru"
"CUST9942","Customer_466",29.0,"26-35","Female","Kolkata"
"CUST6436","Customer_288",52.0,"46-55","Male","Bengaluru"
"CUST2231","Customer_38",51.0,"46-55","Male","Delhi"
"CUST2956","Customer_177",39.0,"36-45","Male","Patna"
"CUST1764","Customer_47",24.0,"18-25","Male","Hyderabad"
"CUST9649","Customer_322",58.0,"56+","Male","Gaya"
"CUST6655","Customer_192",31.0,"26-35","Female","Pune"
"CUST4284","Customer_270",46.0,"46-55","Male","Patna"
"CUST4269","Customer_268",65.0,"56+","Female","Gaya"
"CUST1253","Customer_334",32.0,"26-35","Female","Gaya"
"CUST9754","Customer_304",19.0,"18-25","Male","Delhi"
"CUST2697","Customer_155",49.0,"46-55","Male","Hyderabad"
"CUST9209","Customer_233",21.0,"18-25","Female","Mumbai"
"CUST4215","Customer_103",28.0,"26-35","Male","Delhi"
"CUST2935","Customer_26",28.0,"26-35","Male","Delhi"
"CUST9381","Customer_352",45.0,"36-45","Male","Kolkata"
"CUST4982","Customer_370",33.0,"26-35","Male","Delhi"
"CUST4849","Customer_209",28.0,"26-35","Male","Patna"
"CUST3418","Customer_499",33.0,"26-35","Female","Gaya"
"CUST3459","Customer_320",19.0,"18-25","Male","Pune"
"CUST7937","Customer_158",43.0,"36-45","Female","Mumbai"
"CUST8269","Customer_104",34.0,"26-35","Female","Bengaluru"
"CUST9619","Customer_491",30.0,"26-35","Male","Pune"
"CUST6887","Customer_423",21.0,"18-25","Male","Delhi"
"CUST8515","Customer_445",22.0,"18-25","Male","Mumbai"
"CUST1256","Customer_279",34.0,"26-35","Male","Kolkata"
"CUST1841","Customer_129",45.0,"36-45","Male","Kolkata"
"CUST2777","Customer_417",49.0,"46-55","Male","Gaya"
"CUST2031","Customer_309",45.0,"36-45","Female","Gaya"
"CUST9219","Customer_132",30.0,"26-35","Female","Gaya"
"CUST6714","Customer_31",41.0,"36-45","Female","Unknown"
"CUST5766","Customer_85",27.0,"26-35","Male","Gaya"
"CUST1189","Customer_490",39.0,"36-45","Female","Pune"
"CUST9125","Customer_19",21.0,"18-25","Female","Mumbai"
"CUST6806","Customer_316",46.0,"46-55","Male","Pune"
"CUST9543","Customer_448",45.0,"36-45","Female","Bengaluru"
"CUST6136","Customer_328",22.0,"18-25","Male","Hyderabad"
