Doctor_ID,Total_Patients_Treated,Departments_Covered,Avg_Treatment_Cost_USD,Avg_Length_of_Stay_Days,Readmission_Rate_Pct
DOC0068,36,10,6571.22,6.3,8.3
DOC0069,34,10,4508.56,5.9,5.9
DOC0070,39,10,4593.13,5.5,10.3
DOC0071,31,10,4414.13,5.7,9.7
DOC0072,33,10,4531.45,5.4,6.1
DOC0073,37,9,4351.57,5.4,8.1
DOC0074,41,10,4402.24,4.8,2.4
DOC0075,40,10,4252.12,5.4,12.5
DOC0076,31,9,6979.03,7.1,12.9
DOC0077,43,9,2856.33,4.1,2.3
DOC0078,41,10,4716.63,5.6,4.9
DOC0079,28,10,5491.79,5.3,10.7
DOC0080,33,10,4139.0,5.3,3.0
DOC0081,33,10,5863.79,5.8,12.1
DOC0082,36,10,7251.53,5.9,19.4
DOC0083,41,10,7046.93,6.7,9.8
DOC0084,34,9,8221.09,6.6,5.9
DOC0085,41,10,4137.15,4.9,7.3
DOC0086,38,10,5249.74,5.6,10.5
DOC0087,30,10,3246.63,5.1,3.3
DOC0088,32,10,7052.75,6.8,9.4
DOC0089,45,10,7049.09,6.4,15.6
DOC0090,31,10,4230.97,6.3,12.9
DOC0091,27,9,4139.78,4.9,7.4
DOC0092,34,10,3127.41,5.0,2.9
DOC0093,26,10,6635.65,7.7,11.5
DOC0094,35,9,3586.14,5.0,2.9
DOC0095,24,9,4177.21,5.1,16.7
DOC0096,49,10,4822.57,5.8,10.2
DOC0097,38,10,5834.47,5.3,2.6
DOC0098,46,10,4832.09,5.3,6.5
DOC0099,38,10,3380.16,4.1,0.0
DOC0100,36,9,5234.94,6.0,16.7
DOC0101,33,9,6581.06,5.4,12.1
DOC0102,46,10,5963.5,5.3,10.9
DOC0103,42,10,4001.83,4.8,2.4
DOC0104,40,9,4040.0,5.3,2.5
DOC0105,40,9,2250.65,3.8,0.0
DOC0106,33,9,3440.42,5.3,9.1
DOC0107,45,10,3617.11,5.0,6.7
DOC0108,41,10,3986.41,4.5,2.4
DOC0109,40,10,3922.78,4.4,2.5
DOC0110,38,10,4483.42,5.5,5.3
DOC0111,32,9,6983.22,7.2,9.4
DOC0112,44,10,5681.05,5.9,6.8
DOC0113,45,10,5160.16,5.0,17.8
DOC0114,40,10,3438.95,4.8,7.5
DOC0115,37,10,4351.35,5.0,10.8
DOC0116,36,10,3696.33,4.6,5.6
DOC0117,54,10,3838.85,5.1,7.4
DOC0118,42,10,3438.74,3.7,4.8
DOC0119,31,10,5690.0,6.5,12.9
DOC0120,36,10,4127.64,4.9,5.6
DOC0121,32,10,5583.16,6.2,15.6
DOC0122,39,10,4294.28,5.1,10.3
DOC0123,38,10,4755.08,4.9,7.9
DOC0124,38,9,5246.61,6.0,2.6
DOC0125,36,9,5546.67,5.4,0.0
DOC0126,46,10,4973.39,5.8,6.5
DOC0127,43,10,3378.84,4.4,7.0
DOC0128,41,10,4689.41,5.8,4.9
DOC0129,51,10,4770.02,5.2,5.9
DOC0130,36,10,3498.81,5.3,5.6
DOC0131,36,10,4478.31,6.2,11.1
DOC0132,36,8,4986.75,6.2,5.6
DOC0133,29,9,8543.62,7.7,13.8
DOC0134,38,9,7283.05,5.6,7.9
DOC0135,36,9,3336.31,4.8,0.0
DOC0136,26,8,2536.5,4.1,3.8
DOC0137,25,10,5121.76,5.4,8.0
DOC0138,39,10,5355.1,5.0,7.7
DOC0139,48,10,5680.17,5.6,8.3
DOC0140,39,10,5185.64,5.0,5.1
DOC0141,44,9,6768.93,6.2,9.1
DOC0142,33,9,2897.21,4.1,3.0
DOC0143,46,9,4943.33,5.1,10.9
DOC0144,49,10,4445.0,5.3,12.2
DOC0145,33,10,2637.76,3.6,6.1
DOC0146,38,10,4067.21,5.0,5.3
DOC0147,43,10,3993.58,5.4,2.3
DOC0148,39,10,5836.46,5.4,5.1
DOC0149,46,10,3215.85,4.7,4.3
DOC0150,40,10,3898.4,4.6,2.5
DOC0151,41,10,5593.02,6.3,7.3
DOC0152,27,9,5780.63,6.7,11.1
DOC0153,51,10,3713.86,4.2,2.0
DOC0154,38,10,5657.5,5.5,5.3
DOC0155,47,10,6032.51,6.3,10.6
DOC0156,50,10,5529.18,4.5,4.0
DOC0157,26,8,4031.73,5.6,7.7
DOC0158,34,10,4277.62,4.5,5.9
DOC0159,26,9,5495.38,6.1,0.0
DOC0160,36,10,4277.17,5.9,8.3
DOC0161,38,10,3010.95,4.3,2.6
DOC0162,38,9,8397.26,7.3,13.2
DOC0163,29,10,3160.93,5.0,6.9
DOC0164,35,10,5474.63,5.4,11.4
DOC0165,39,10,6215.15,6.4,12.8
DOC0166,35,10,3478.0,4.9,2.9
DOC0167,33,9,4431.42,5.1,9.1
DOC0168,29,9,8385.14,7.7,17.2
DOC0169,47,10,5976.98,5.7,4.3
DOC0170,40,10,4739.7,5.0,5.0
DOC0171,40,10,4929.95,6.0,15.0
DOC0172,43,10,3718.81,5.8,11.6
DOC0173,37,10,6320.0,5.3,5.4
DOC0174,31,9,7652.61,6.1,6.5
DOC0175,33,10,4769.88,5.5,12.1
DOC0176,42,10,2589.02,3.5,0.0
DOC0177,34,10,2957.91,4.1,2.9
DOC0178,30,10,7039.33,6.6,10.0
DOC0179,40,9,5175.8,4.9,12.5
DOC0180,33,10,6423.18,5.8,12.1
DOC0181,25,7,4428.04,5.7,12.0
DOC0182,47,10,5358.45,5.8,2.1
DOC0183,39,10,6340.15,5.8,7.7
DOC0184,38,10,4407.66,4.4,2.6
DOC0185,46,10,3980.07,4.9,10.9
DOC0186,41,10,4302.83,4.7,4.9
DOC0187,38,10,5385.03,5.6,0.0
DOC0188,35,9,4592.89,4.9,8.6
DOC0189,30,10,2481.0,4.0,6.7
DOC0190,35,10,3307.09,4.5,2.9
DOC0191,54,10,4512.22,5.0,9.3
DOC0192,38,10,7034.87,7.2,13.2
DOC0193,33,10,4423.58,5.3,3.0
DOC0194,36,9,5178.11,5.3,8.3
DOC0195,34,9,5670.59,4.8,5.9
DOC0196,33,10,4900.06,5.1,3.0
DOC0197,42,10,3849.69,4.6,2.4
DOC0198,37,10,6510.11,6.3,8.1
DOC0199,34,10,3316.94,4.6,2.9
DOC0200,47,9,5632.85,6.1,12.8
DOC0201,36,9,4835.92,4.3,5.6
DOC0202,34,10,3757.12,4.2,2.9
DOC0203,47,8,6321.19,6.2,12.8
DOC0204,29,9,3904.79,4.4,3.4
DOC0205,37,9,3101.41,4.5,2.7
DOC0206,45,10,5478.13,5.9,8.9
DOC0207,30,10,5816.3,5.8,13.3
DOC0208,52,10,5200.98,5.8,7.7
DOC0209,30,9,3330.13,4.1,10.0
DOC0210,30,9,3233.97,4.1,10.0
DOC0211,44,10,3712.32,4.1,6.8
DOC0212,35,10,4078.8,5.5,11.4
DOC0213,39,10,3365.46,4.8,2.6
DOC0214,31,10,5126.23,5.3,3.2
DOC0215,44,10,4663.82,5.7,6.8
DOC0216,48,10,3735.33,4.4,2.1
DOC0217,38,10,4678.87,5.4,13.2
DOC0218,36,10,4120.33,5.4,5.6
DOC0219,41,10,4045.88,4.6,0.0
DOC0220,35,10,4583.74,4.8,2.9
DOC0221,42,9,3304.67,4.2,2.4
DOC0222,48,10,5191.79,5.0,8.3
DOC0223,31,10,4136.97,5.7,6.5
DOC0224,46,10,4889.67,5.7,4.3
DOC0225,25,9,7515.56,7.0,8.0
DOC0226,35,10,3719.89,4.5,5.7
DOC0227,39,10,5774.26,6.5,10.3
DOC0228,33,10,4441.97,4.8,9.1
DOC0229,37,10,3734.68,4.9,2.7
DOC0230,36,10,4059.81,4.6,0.0
DOC0231,40,10,4079.68,5.0,10.0
DOC0232,39,10,5572.44,6.4,10.3
DOC0233,40,10,4484.18,4.8,2.5
DOC0234,38,10,2541.68,3.5,2.6
DOC0235,41,10,6709.51,6.5,12.2
DOC0236,40,10,3983.72,5.1,7.5
DOC0237,32,9,4292.72,4.2,6.2
DOC0238,24,9,5821.92,6.8,16.7
DOC0239,37,10,4108.49,5.3,2.7
DOC0240,33,10,6086.06,6.6,3.0
DOC0241,35,9,2226.29,3.3,5.7
DOC0242,35,10,3619.54,5.6,0.0
DOC0243,40,10,6009.62,5.2,7.5
DOC0244,40,10,5816.98,6.1,5.0
DOC0245,34,9,4121.35,5.5,11.8
DOC0246,44,10,5031.14,5.8,11.4
DOC0247,33,9,4251.58,4.6,6.1
DOC0248,32,10,5438.69,5.2,6.2
DOC0249,34,10,5071.74,5.3,8.8
DOC0250,35,10,4573.14,4.9,0.0
DOC0251,39,10,5990.9,7.0,10.3
DOC0252,51,10,7401.84,6.0,13.7
DOC0253,46,10,6823.15,6.8,10.9
DOC0254,49,10,4747.73,5.0,6.1
DOC0255,44,10,4437.68,4.3,2.3
DOC0256,32,10,5049.47,4.9,0.0
DOC0257,35,10,3837.43,4.6,8.6
DOC0258,45,10,6043.33,6.0,11.1
DOC0259,38,10,7693.71,7.9,13.2
DOC0260,40,10,5467.98,5.4,12.5
DOC0261,35,10,4858.11,5.9,5.7
DOC0262,33,10,5301.85,6.2,6.1
DOC0263,30,10,2548.83,4.1,0.0
DOC0264,28,9,5506.54,5.2,3.6
DOC0265,29,9,4771.52,4.8,3.4
DOC0266,43,10,4815.72,5.1,0.0
DOC0267,30,10,5793.37,6.2,10.0
DOC0268,37,10,4600.22,5.9,5.4
DOC0269,36,10,8441.06,7.1,2.8
DOC0270,37,10,5422.73,5.9,10.8
DOC0271,39,10,3304.67,4.4,2.6
DOC0272,43,10,4058.4,4.2,7.0
DOC0273,30,10,6102.63,6.4,6.7
DOC0274,33,9,4431.73,5.1,3.0
DOC0275,39,10,4979.28,5.2,7.7
DOC0276,41,10,5266.17,6.5,22.0
DOC0277,39,10,4531.44,4.9,12.8
DOC0278,26,10,5247.42,6.2,11.5
DOC0279,49,10,5019.12,5.3,8.2
DOC0280,36,9,4630.61,4.6,2.8
DOC0281,39,9,5220.79,5.7,2.6
DOC0282,34,10,4304.79,5.5,5.9
DOC0283,31,8,3535.84,4.6,6.5
DOC0284,29,9,3292.79,4.7,3.4
DOC0285,41,10,5415.98,5.3,7.3
DOC0286,44,10,3891.09,5.1,4.5
DOC0287,38,10,4345.16,5.1,7.9
DOC0288,36,10,3617.56,5.1,2.8
DOC0289,27,8,4716.15,5.6,7.4
DOC0290,27,9,2565.52,4.1,7.4
DOC0291,32,10,2223.59,4.0,0.0
DOC0292,43,10,6423.05,6.5,16.3
DOC0293,34,10,3632.56,5.4,11.8
DOC0294,38,10,5022.68,5.6,2.6
DOC0295,40,10,4044.92,5.1,0.0
DOC0296,42,10,5805.67,5.3,9.5
DOC0297,35,10,4995.23,4.9,5.7
DOC0298,29,10,6537.79,6.4,6.9
DOC0299,35,9,5575.29,5.3,2.9
DOC0300,41,10,7232.12,6.5,9.8
DOC0301,38,10,3896.53,4.9,2.6
DOC0302,31,8,6473.06,6.1,12.9
DOC0303,30,10,4106.37,5.1,6.7
DOC0304,40,10,4469.27,4.6,10.0
DOC0305,32,8,5984.03,5.7,6.2
DOC0306,42,10,4132.57,4.3,7.1
DOC0307,33,9,5614.79,6.0,12.1
DOC0308,45,10,7785.71,7.0,17.8
DOC0309,48,10,2848.62,4.0,6.2
DOC0310,37,9,4769.54,6.0,5.4
DOC0311,34,10,5333.94,6.5,2.9
DOC0312,35,10,3809.06,5.3,0.0
DOC0313,25,10,4508.96,5.5,8.0
DOC0314,49,9,7433.24,6.3,14.3
DOC0315,36,10,5334.28,5.9,13.9
DOC0316,32,10,6463.84,6.2,6.2
DOC0317,36,10,5371.53,5.5,5.6
DOC0318,41,10,5839.34,5.7,12.2
DOC0319,31,10,4511.74,4.5,3.2
DOC0320,27,10,5510.0,5.1,0.0
DOC0321,40,10,5303.48,5.9,5.0
DOC0322,41,8,3970.41,5.3,9.8
DOC0323,39,10,3622.67,4.3,5.1
DOC0324,27,10,5179.19,5.5,18.5
DOC0325,36,10,3750.83,4.9,5.6
DOC0326,29,10,7207.28,7.2,10.3
DOC0327,35,10,6458.8,6.1,11.4
DOC0328,39,9,4671.62,4.8,5.1
DOC0329,35,10,7117.4,6.7,5.7
DOC0330,42,10,4613.81,5.1,2.4
DOC0331,45,10,4800.8,5.3,6.7
DOC0332,31,10,4367.74,4.9,6.5
DOC0333,35,10,4493.17,4.4,11.4
DOC0334,52,10,3537.08,4.9,0.0
DOC0335,37,10,3714.73,4.4,5.4
DOC0336,44,10,5073.34,5.2,2.3
DOC0337,59,10,6209.49,5.9,5.1
DOC0338,44,10,4674.93,5.3,4.5
DOC0339,47,10,5305.98,6.0,10.6
DOC0340,30,10,6888.93,6.3,0.0
DOC0341,43,10,5592.02,5.7,9.3
DOC0342,41,10,2929.41,3.4,2.4
DOC0343,26,8,5510.38,6.1,0.0
DOC0344,43,10,5548.58,5.8,9.3
DOC0345,38,10,4393.26,5.6,7.9
DOC0346,41,10,5335.32,5.4,9.8
DOC0347,32,9,4518.38,5.2,9.4
DOC0348,37,9,4047.57,5.7,5.4
DOC0349,42,10,6356.48,5.7,7.1
DOC0350,34,9,3342.03,4.6,2.9
DOC0351,41,10,5289.24,5.4,2.4
DOC0352,41,10,4170.22,4.8,2.4
DOC0353,45,9,4451.16,5.5,8.9
DOC0354,41,10,5038.95,6.1,9.8
DOC0355,25,10,7243.88,6.4,16.0
DOC0356,47,9,5831.7,6.3,17.0
DOC0357,38,10,3720.24,4.5,7.9
DOC0358,32,10,3589.16,4.4,9.4
DOC0359,31,10,7074.39,6.9,12.9
DOC0360,43,10,5719.16,6.1,16.3
DOC0361,37,9,7787.78,7.1,16.2
DOC0362,36,10,7136.97,5.7,13.9
DOC0363,39,10,2968.08,4.5,10.3
DOC0364,31,9,6426.58,6.6,12.9
DOC0365,48,10,4659.71,5.2,10.4
DOC0366,32,9,5872.47,4.2,9.4
DOC0367,34,10,3798.41,4.4,2.9
DOC0368,32,10,4373.81,5.2,6.2
DOC0369,38,9,7658.66,6.2,13.2
DOC0370,32,8,5412.56,6.1,9.4
DOC0371,50,10,5908.48,5.8,10.0
DOC0372,32,8,4626.31,5.1,3.1
DOC0373,44,10,5058.68,5.5,13.6
DOC0374,29,9,5526.9,6.5,3.4
DOC0375,43,10,5655.4,6.2,4.7
DOC0376,34,10,6307.12,6.6,2.9
DOC0377,28,10,2935.71,3.9,10.7
DOC0378,27,10,4202.56,4.4,0.0
DOC0379,48,10,2543.42,3.6,2.1
DOC0380,42,10,4048.1,4.9,14.3
DOC0381,33,9,5481.03,5.3,9.1
DOC0382,32,10,4246.34,5.2,12.5
DOC0383,38,10,3844.11,5.0,10.5
DOC0384,30,10,5735.1,5.5,10.0
DOC0385,36,10,3684.39,4.7,0.0
DOC0386,30,10,4734.97,5.7,3.3
DOC0387,39,10,5195.23,5.9,12.8
DOC0388,47,10,3177.06,4.6,10.6
DOC0389,46,10,5611.93,5.2,13.0
DOC0390,41,10,4622.83,5.8,2.4
DOC0391,42,10,4900.36,5.3,11.9
DOC0392,34,10,3423.29,3.4,2.9
DOC0393,38,10,6837.79,5.6,2.6
DOC0394,39,10,4881.51,5.4,5.1
DOC0395,35,10,4426.06,5.3,5.7
DOC0396,40,10,3908.12,5.0,15.0
DOC0397,44,10,3432.18,5.1,4.5
DOC0398,38,10,5080.71,6.4,7.9
DOC0399,40,9,5159.68,5.1,5.0
DOC0400,42,10,5085.74,5.4,7.1
DOC0401,38,10,3700.24,4.5,2.6
DOC0402,41,10,5782.44,5.5,12.2
DOC0403,30,10,6064.07,5.7,13.3
DOC0404,32,10,5311.72,5.8,9.4
DOC0405,38,10,7073.68,7.1,23.7
DOC0406,39,9,3322.74,3.9,7.7
DOC0407,31,9,5350.0,5.3,9.7
DOC0408,37,10,5157.86,5.7,8.1
DOC0409,38,10,5242.63,5.8,5.3
DOC0410,50,10,4764.04,5.0,6.0
DOC0411,37,10,5015.81,4.9,10.8
DOC0412,26,10,4319.58,5.6,7.7
DOC0413,36,10,3403.81,5.0,8.3
DOC0414,43,10,5173.7,5.4,9.3
DOC0415,35,9,4223.57,5.3,11.4
DOC0416,42,10,3154.74,4.5,2.4
DOC0417,41,10,5654.78,6.0,9.8
DOC0418,49,10,4582.96,5.6,6.1
DOC0419,45,10,3649.09,4.8,8.9
DOC0420,37,10,3977.57,4.9,5.4
DOC0421,48,10,7436.1,6.0,10.4
DOC0422,44,10,6322.45,6.6,11.4
DOC0423,34,10,3764.38,4.1,11.8
DOC0424,27,10,4944.59,5.6,7.4
DOC0425,40,10,5348.78,6.3,5.0
DOC0426,49,10,5507.33,5.9,6.1
DOC0427,43,10,6165.37,5.7,4.7
DOC0428,30,9,3793.47,4.6,3.3
DOC0429,38,10,7019.13,6.7,26.3
DOC0430,35,10,3769.46,4.6,11.4
DOC0431,44,10,5682.5,5.2,11.4
DOC0432,37,10,4738.05,5.6,10.8
DOC0433,42,10,5167.86,5.5,0.0
DOC0434,23,10,4113.87,5.2,0.0
DOC0435,41,10,4067.05,5.0,12.2
DOC0436,39,10,4060.82,4.6,0.0
DOC0437,32,9,7172.34,6.5,12.5
DOC0438,45,10,5939.49,5.4,8.9
DOC0439,30,10,5519.33,6.5,6.7
DOC0440,32,8,3730.16,4.8,6.2
DOC0441,48,10,4711.58,5.3,2.1
DOC0442,48,10,4288.73,5.2,2.1
DOC0443,41,10,4339.49,4.6,7.3
DOC0444,29,10,3132.9,5.0,10.3
DOC0445,31,10,4609.48,4.6,6.5
DOC0446,42,9,5233.4,5.6,9.5
DOC0447,31,9,6116.87,5.4,3.2
DOC0448,38,10,4635.03,4.4,7.9
DOC0449,24,9,4362.0,5.3,8.3
DOC0450,28,9,4555.93,5.0,3.6
DOC0451,35,10,2948.06,4.1,8.6
DOC0452,44,10,5143.77,5.3,2.3
DOC0453,42,10,3367.6,4.3,4.8
DOC0454,26,9,4908.92,6.2,3.8
DOC0455,34,10,5240.65,4.7,8.8
DOC0456,21,9,6966.62,6.6,9.5
DOC0457,45,10,4953.02,5.4,2.2
DOC0458,35,10,5674.03,6.1,8.6
DOC0459,25,10,4636.56,6.0,12.0
DOC0460,45,10,6009.33,6.1,8.9
DOC0461,35,9,5728.46,4.9,5.7
DOC0462,32,9,4088.97,5.4,0.0
DOC0463,45,9,5385.29,5.6,6.7
DOC0464,36,10,3784.56,4.6,2.8
DOC0465,33,10,5486.24,6.3,6.1
DOC0466,23,10,3576.3,4.7,4.3
DOC0467,46,10,4056.37,5.5,6.5
DOC0468,39,10,3777.69,4.4,5.1
DOC0469,53,10,5918.57,6.2,7.5
DOC0470,37,9,7035.41,7.6,16.2
DOC0471,46,10,4159.39,4.3,8.7
DOC0472,34,9,7207.94,7.6,11.8
DOC0473,30,9,5544.37,6.0,13.3
DOC0474,37,10,5998.7,6.9,13.5
DOC0475,33,10,4864.52,6.0,9.1
DOC0476,41,9,6363.8,5.5,7.3
DOC0477,34,9,3733.32,4.6,8.8
DOC0478,30,10,3740.77,5.0,3.3
DOC0479,33,9,2663.18,4.5,9.1
DOC0480,39,9,4578.36,5.1,5.1
DOC0481,41,10,7012.68,6.4,7.3
DOC0482,40,10,4700.95,5.0,5.0
DOC0483,32,10,7548.5,6.0,12.5
DOC0484,39,10,4387.87,4.7,5.1
DOC0485,32,10,4157.84,5.6,3.1
DOC0486,38,10,4307.58,5.7,10.5
DOC0487,39,10,4475.38,5.2,2.6
DOC0488,24,9,5786.42,6.0,8.3
DOC0489,38,10,4641.63,5.7,13.2
DOC0490,33,10,6099.3,5.1,6.1
DOC0491,45,10,6431.13,5.4,8.9
DOC0492,45,10,7709.71,7.1,11.1
DOC0493,37,10,3216.59,4.5,10.8
DOC0494,49,10,4181.73,5.3,8.2
DOC0495,41,10,4173.56,5.1,0.0
DOC0496,33,10,4540.06,5.6,6.1
DOC0497,31,9,2697.23,4.5,6.5
DOC0498,40,10,4975.32,4.5,10.0
DOC0499,49,10,4876.78,5.4,8.2
DOC0500,34,10,5368.59,5.9,8.8
